SOC,Data_Point,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
0.55,75259.93006993007,82967.2970077811,338.8849249865136,6.986013986013986,9.965034965034965,-0.007118929099369716,3.705475675476181,0.5479736543398791,1.4480011774726644,2.104558780743836,5.114143380802568,8.157758774696622e-06,0.0,0.0,0.0,0.0
0.56,75862.06993006993,83575.57796989084,338.2428719339349,7.013986013986014,10.034965034965035,0.006871811159840831,3.716337133954455,0.5655631286786509,1.4455217823856392,2.1733967626608,5.104479775424924,7.827460751184947e-06,0.0,0.0,0.0,0.0
0.57,75561.0,83271.37686498192,338.50327459754266,7.0,10.0,-0.0001378365805451299,3.721813015534844,0.5717790321049104,1.4317320913610447,2.198732011885625,5.057451106300695,-4.321389471288954e-06,0.0,0.0,0.0,0.0
0.58,75561.0,83271.39092537685,338.51733501031794,7.0,10.0,-0.0001302348895811699,3.729591900194195,0.5817442680930742,1.4217656717851035,2.238497740301473,5.022958665016054,-1.5591988697669363e-05,0.0,0.0,0.0,0.0
0.59,75257.93706293707,82965.23393178279,336.82184896856967,6.986013986013986,9.965034965034965,-0.007135273693324802,3.7365561615337026,0.587675162214374,1.407716401049686,2.262837701021031,4.974858313646029,-4.204975963542498e-05,0.0,0.0,0.0,0.0
0.6,75864.06293706293,83577.58075306688,340.2456551100413,7.013986013986014,10.034965034965035,0.006847919700862644,3.7531146686393897,0.6058204192927186,1.4058129006056077,2.3341813646123777,4.9668085558319905,-0.0001396388834618338,0.0,0.0,0.0,0.0
0.61,75568.02993471315,83278.28895949869,3570.5753710320805,7.990345881372413,9.502708709542992,6.808802756622013e-05,3.7570147384188375,0.6159268922309279,1.3936519822682127,2.3754197425524746,4.924944419696986,1.7767412976804673e-07,0.0,0.0,0.0,0.0
0.62,75207.59440559441,82913.71446422854,340.68945197871767,6.986013986013986,9.958041958041958,-0.007117669899146873,3.7517547207278805,0.6175350399535937,1.377523906949868,2.382564639365272,4.869436066505969,8.61457645352946e-05,0.0,0.0,0.0,0.0
0.63,75561.5,83271.25687247927,338.3854611291734,7.0,10.0,-0.00013023740808728714,3.7645307728942012,0.6317314866259132,1.3717300627791829,2.4389355769945307,4.848419290889715,8.012529652775593e-06,0.0,0.0,0.0,0.0
0.64,75561.5,83271.31418186247,338.4427705144378,7.0,10.0,-0.00012770253168025488,3.7737956298908717,0.6416941578045863,1.3617814982284107,2.479118762758249,4.813549175687815,-3.3911056677207458e-06,0.0,0.0,0.0,0.0
0.65,75561.5,83271.2936708404,338.42225948948493,7.0,10.0,-0.00012696575787332322,3.783012592130237,0.651714772856067,1.3517515488354572,2.5196278597023767,4.778301365973662,-4.980049298966252e-06,0.0,0.0,0.0,0.0
0.66,75561.5,83271.26685591103,338.39544457633,7.0,10.0,-0.00012010545797750984,3.7924645383593063,0.6617367879503413,1.3417202484160617,2.5602317610723304,4.7429514316430765,-9.563553633174898e-06,0.0,0.0,0.0,0.0
0.67,75561.5,83271.2596791883,338.3882678370439,7.0,10.0,-0.00010870837829482387,3.802175610837802,0.6716981493337585,1.33175297639241,2.60067893755741,4.707725262095153,-1.269322907114336e-05,0.0,0.0,0.0,0.0
0.68,75918.8951048951,83632.28723351937,339.56942307192406,7.013986013986014,10.041958041958042,0.006866778943922136,3.8142103431941745,0.6863790524894526,1.3264448124867498,2.6594789307311903,4.687930782372063,-1.8131481782757918e-05,0.0,0.0,0.0,0.0
0.69,75204.1048951049,82910.20248683411,337.1774745806961,6.986013986013986,9.958041958041958,-0.007098809822455986,3.821713851048396,0.6870295635945448,1.3070366576826151,2.6641045418229945,4.620961339505521,-3.341128518462989e-05,0.0,0.0,0.0,0.0
0.7,75561.5,83271.26647891244,338.3950675798437,7.0,10.0,-0.00012010713698158801,3.8377182298982646,0.7017080768708872,1.3017389543520443,2.7230806447382956,4.600932347356828,-0.00012164905566466369,0.0,0.0,0.0,0.0
0.71,75569.20009723572,83278.69920382206,3569.936187294603,7.990276427281567,9.502847617724685,-1.2073852665176953e-06,3.844329985782063,0.7158974446408023,1.2936814591740635,2.781225229423871,4.571942507934994,-1.5532045076240398e-06,0.0,0.0,0.0,0.0
0.72,75562.0,83271.32574180467,338.450636795679,7.0,10.0,-0.0001049163475842543,3.8465059962071164,0.7217318965641247,1.2817236959850777,2.8051334652040696,4.5290710973753665,9.83320436281362e-05,0.0,0.0,0.0,0.0
0.73,75562.0,83271.33882518832,338.463720149722,7.0,10.0,-8.718942252682968e-05,3.8603735876754977,0.7316938429987927,1.2717648481001016,2.846065640992136,4.49323261410405,2.4605137324714902e-05,0.0,0.0,0.0,0.0
0.74,75562.0,83271.3377669357,338.4626619358772,7.0,10.0,-0.00010699033737182617,3.8724744932519064,0.7417229136480833,1.2617321995414295,2.8874202000932563,4.4570190432871915,4.093851708199105e-06,0.0,0.0,0.0,0.0
0.75,75562.0,83271.29513114106,338.4200261386447,7.0,10.0,-0.00010871719306623431,3.8839819263404523,0.7517440098660514,1.2516973880975573,2.9288672332645604,4.420687522366007,1.7425629497230263e-06,0.0,0.0,0.0,0.0
0.76,75562.0,83271.28597879362,338.41087378081903,7.0,10.0,-8.59230337008624e-05,3.895167528743475,0.7617042251624412,1.2417317459105046,2.9701780069903094,4.384496041193376,-1.75487837905038e-06,0.0,0.0,0.0,0.0
0.77,75973.72027972028,83687.25697395888,339.15054500903125,7.013986013986014,10.048951048951048,0.0068956951161364575,3.9080263784715346,0.7770246340498943,1.2370593255853697,3.0325043682410944,4.366017402098052,-3.051852084487885e-06,0.0,0.0,0.0,0.0
0.78,75150.27972027972,82855.37659579235,337.7328146952048,6.986013986013986,9.951048951048952,-0.007087496610788198,3.9156160171215353,0.776411930187755,1.2163891914451226,3.0328341833272603,4.293520448586799,-1.4013413617052007e-05,0.0,0.0,0.0,0.0
0.79,75562.0,83271.32292997828,338.44782496484885,7.0,10.0,-8.71877435227515e-05,3.9289491495616,0.7917287420590348,1.2117125214733107,3.095358081971053,4.274790644243451,-1.9068591197063937e-05,0.0,0.0,0.0,0.0
